From country;Televote Points;To country
Albania;2.0;Armenia
Albania;12.0;Australia
Albania;0.0;Austria
Albania;0.0;Azerbaijan
Albania;0.0;Belgium
Albania;8.0;Bulgaria
Albania;0.0;Croatia
Albania;0.0;Cyprus
Albania;0.0;Czech Republic
Albania;0.0;France
Albania;0.0;Georgia
Albania;0.0;Germany
Albania;1.0;Hungary
Albania;0.0;Israel
Albania;10.0;Italy
Albania;0.0;Latvia
Albania;4.0;Lithuania
Albania;0.0;Malta
Albania;5.0;Poland
Albania;7.0;Russia
Albania;0.0;Serbia
Albania;0.0;Spain
Albania;3.0;Sweden
Albania;0.0;The Netherlands
Albania;6.0;Ukraine
Albania;0.0;United Kingdom
Armenia;12.0;Armenia
Armenia;0.0;Australia
Armenia;4.0;Austria
Armenia;0.0;Azerbaijan
Armenia;0.0;Belgium
Armenia;0.0;Bulgaria
Armenia;0.0;Croatia
Armenia;6.0;Cyprus
Armenia;0.0;Czech Republic
Armenia;7.0;France
Armenia;8.0;Georgia
Armenia;0.0;Germany
Armenia;3.0;Hungary
Armenia;0.0;Israel
Armenia;0.0;Italy
Armenia;0.0;Latvia
Armenia;0.0;Lithuania
Armenia;5.0;Malta
Armenia;1.0;Poland
Armenia;12.0;Russia
Armenia;0.0;Serbia
Armenia;0.0;Spain
Armenia;2.0;Sweden
Armenia;0.0;The Netherlands
Armenia;10.0;Ukraine
Armenia;0.0;United Kingdom
Australia;0.0;Armenia
Australia;12.0;Australia
Australia;3.0;Austria
Australia;0.0;Azerbaijan
Australia;12.0;Belgium
Australia;10.0;Bulgaria
Australia;0.0;Croatia
Australia;0.0;Cyprus
Australia;0.0;Czech Republic
Australia;7.0;France
Australia;0.0;Georgia
Australia;0.0;Germany
Australia;0.0;Hungary
Australia;0.0;Israel
Australia;0.0;Italy
Australia;0.0;Latvia
Australia;1.0;Lithuania
Australia;6.0;Malta
Australia;0.0;Poland
Australia;5.0;Russia
Australia;0.0;Serbia
Australia;2.0;Spain
Australia;0.0;Sweden
Australia;0.0;The Netherlands
Australia;8.0;Ukraine
Australia;4.0;United Kingdom
Austria;0.0;Armenia
Austria;3.0;Australia
Austria;12.0;Austria
Austria;0.0;Azerbaijan
Austria;0.0;Belgium
Austria;5.0;Bulgaria
Austria;0.0;Croatia
Austria;0.0;Cyprus
Austria;0.0;Czech Republic
Austria;1.0;France
Austria;0.0;Georgia
Austria;2.0;Germany
Austria;0.0;Hungary
Austria;0.0;Israel
Austria;0.0;Italy
Austria;0.0;Latvia
Austria;0.0;Lithuania
Austria;0.0;Malta
Austria;12.0;Poland
Austria;8.0;Russia
Austria;4.0;Serbia
Austria;0.0;Spain
Austria;7.0;Sweden
Austria;6.0;The Netherlands
Austria;10.0;Ukraine
Austria;0.0;United Kingdom
Azerbaijan;0.0;Armenia
Azerbaijan;2.0;Australia
Azerbaijan;0.0;Austria
Azerbaijan;12.0;Azerbaijan
Azerbaijan;0.0;Belgium
